idiom,meaning,language,domain,register,english_idiom,target_translation
Slab začetek,make a bad start in a relationship or task,en,,,Get off on the wrong foot,Get off on the wrong foot
Pridružiti se / podpreti idejo,accept and participate with an idea or project,en,,,Get on board,Get on board
Uiti nadzoru,become chaotic and uncontrollable,en,,,Get out of hand,Get out of hand
Premagati nekaj / nehati se obremenjevati,move beyond something that is bothering you,en,,,Get over it,Get over it
Če popustiš malo bo izkoristil še več,allow someone a small concession and they will take advantage and try to take more,en,,,Give him an inch and he'll take a mile,Give him an inch and he'll take a mile
Verjeti nepreverjeni trditvi,decide to believe a statement which isn't proven,en,,,Give the benefit of the doubt,Give the benefit of the doubt
Umakniti se / pobegniti,to get away from - to escape,en,,,Give the slip,Give the slip
Nevidna ovira za napredovanje,an unacknowledged or unseen discriminatory barrier that prevents women and minorities from rising to positions of power,en,,,Glass ceiling,Glass ceiling
Zelo majhna enota / izraz za nekaj drobnega,a very small unit of measurement,en,,,Gnat's bollock,Gnat's bollock
Zelo se razjeziti ali razburiti,become excessively agitated and excited,en,,,Go ape shit,Go ape shit
Propasti / popolnoma odpovedati,become badly and permanently inoperative,en,,,Go belly (or tits) up,Go belly (or tits) up
Tvegati vse za cilj,put every resource into getting a particular result,en,,,Go for broke,Go for broke
Tvegati pri podpori nečesa ali nekoga,take a risk to support someone or something,en,,,Go out on a limb,Go out on a limb
Narediti več kot se pričakuje,going beyond what is usually required - make an extra effort,en,,,Go the extra mile,Go the extra mile
Hitro propadanje / smer proti katastrofi,deteriorating and headed for complete disaster,en,,,Going to hell in a handbasket,Going to hell in a handbasket
Oseba ki nesebično pomaga drugim,someone who compassionately helps another who is in need,en,,,Good Samaritan,Good Samaritan
Nočna izmena,working hours that extend overnight,en,,,Graveyard shift,Graveyard shift
Poceni gostilna s hitro hrano,a small cheap cafe selling fried food,en,,,Greasy spoon,Greasy spoon
Ironično rečeno ko imata dve osebi enake misli,said ironically when two people have matching thoughts,en,,,Great minds think alike,Great minds think alike
Vzklik presenečenja,exclamation of surprise,en,,,Great scot,Great scot
"Cockney rima za \neck\""""",cockney rhyming slang for neck,en,,,Gregory Peck,Gregory Peck
Osebni občutek / intuicija brez dokazov,a personal intuition - based on feeling rather than fact,en,,,Gut feeling,Gut feeling
Uspešno sodelovati v vojaški kampanji,to have been successful during a military campaign,en,,,Had a good war,Had a good war
Pitje alkohola za lajšanje mačka,an alcoholic drink - intended to cure a hangover - it is mistakenly believed that a small measure of the same drink that made a person drunk will sober them up and cure the drinks ill effects - the expression is also used in other contexts - whenever an additional dose of whatever caused a problem is thought to be an appropriate remedy,en,,,Hair of the dog,Hair of the dog
"Cockney rima za \pinch\""""",cockney rhyming slang for pinch,en,,,Half inch,Half inch
Mešanica veselja in žalosti,a bittersweet feeling combining both happiness and sadness,en,,,Happy sad,Happy sad
Popolnoma nov,brand spanking new,en,,,Harry spankers,Harry spankers
Naglica povzroča napake,doing things in a rush makes for a poor result,en,,,Haste makes waste,Haste makes waste
Trikratni dosežek,a threefold feat in sports or some other activity,en,,,Hat trick,Hat trick
Zelo uživati / imeti se odlično,have an especially good time,en,,,Have a blast,Have a blast
"Cockney rima za \look\""""",cockney rhyming slang for look,en,,,Have a Captain Cook,Have a Captain Cook
Oseba ki povzroča močan občutek nelagodja ali odpora,said of someone who the speaker has a deep dislike of,en,,,He makes my flesh (or skin) crawl (or creep),He makes my flesh (or skin) crawl (or creep)
Popolnoma zaljubljen / močno navdušen,very excited - especially when in love,en,,,Head over heels,Head over heels
Slišati govorice,hear rumors about something from an anonymous informal contact,en,,,Hear it on the grapevine,Hear it on the grapevine
Občutek strahu ali nelagodja,a state of nervous anxiety or fear,en,,,Heebie-jeebies,Heebie-jeebies
Odločen doseči cilj za vsako ceno,determined to achieve something at all costs,en,,,Hell bent,Hell bent
Postrezi si,invitation to take something freely,en,,,Help yourself,Help yourself
Skrito na očeh,something that defies apprehension by being too obvious,en,,,Hidden in plain sight,Hidden in plain sight
Vzvišen / ošaben,proud and arrogant,en,,,High and mighty,High and mighty
Živeti razkošno,luxurious,en,,,High on the hog,High on the hog
Vrhunec turistične sezone,the most popular time to visit a resort or attraction - when prices are highest,en,,,High season,High season
Intenzivno se učiti,to study - especially for a test or exam,en,,,Hit the books,Hit the books
Zadeti bistvo,make the precise correct point,en,,,Hit the nail on the head,Hit the nail on the head
Oditi spat,retire to bed,en,,,Hit the sack,Hit the sack
Izbira brez alternative,a choice forced upon someone - cockney rhyming slang for voice,en,,,Hobson's choice,Hobson's choice
Čarovniške besede / prevara,a term used to denote magic or trickery,en,,,Hocus pocus,Hocus pocus
Bodi potrpežljiv,be patient,en,,,Hold your horses,Hold your horses
Vzklik močnega presenečenja,an expression of extreme surprise or disbelief,en,,,Holy shit,Holy shit
Ne želim prenašati tega,i am unwilling to tolerate it,en,,,I can't be doing with it,I can't be doing with it
Zaradi stresa ne razmišljam jasno,i'm overwhelmed and stressed and it is affecting my ability to think,en,,,I can't think straight,I can't think straight
Pripravljen sem,i am ready to participate,en,,,I'm good to go,I'm good to go
Težave pridejo ena za drugo,said after more than one thing goes wrong,en,,,If it's not one thing - it's another,If it's not one thing - it's another
Sodelovati v skrivnem ali nepoštenem dogovoru,to be in a partnership with - often for unscrupulous purposes,en,,,In cahoots with,In cahoots with
Na kratko / jedrnato,in a few words - concisely stated,en,,,In a nutshell,In a nutshell
Uspešno in brez težav doseči cilj,to be easily successful - especially concerning sex or romance,en,,,In like Flynn,In like Flynn
V negotovem stanju,in an uncertain situation - over which you have no control,en,,,In limbo,In limbo
Zagotovljeno,something that is secured,en,,,In the bag,In the bag
Gol / brez oblačil,naked,en,,,In the buff,In the buff
V trenutku močnih čustev,in an overwhelming situation - causing you to act rashly,en,,,In the heat of the moment,In the heat of the moment
V isti težki situaciji,jointly facing the same predicament,en,,,In the same boat,In the same boat
Odkrito izzivalno,aggressive confrontation,en,,,In your face,In your face
Kaznivo dejanje s pomočjo notranje osebe,a crime committed by or with the help of someone living or working in the place that it took place,en,,,Inside job,Inside job
Težave pridejo v skupinah,when troubles come they often come together,en,,,It never rains but it pours,It never rains but it pours
Za spor sta potrebni dve strani,it takes two people to cause a problem between them,en,,,It takes two to tango,It takes two to tango
Presenetljivo srečanje znancev,said when people meet unexpectedly - away from their usual haunts,en,,,It's a small world,It's a small world
"Cockney rima za \gone wrong\""""",cockney rhyming slang for gone wrong,en,,,It's all gone Pete Tong,It's all gone Pete Tong
Ni zapleteno / lahko razumljivo,said of something that isn't complex or difficult to understand,en,,,It's not rocket science,It's not rocket science
Skupina elitnih ameriških univerz,the joint name given to columbia - brown - cornell - dartmouth - yale - pennsylvania - princeton - and harvard universities,en,,,Ivy league,Ivy league
"Cockney rima za \dancing\""""",cockney rhyming slang for dancing,en,,,Jack Palancing,Jack Palancing
"Cockney rima za \car\""""",cockney rhyming slang for car,en,,,Jam jar,Jam jar
Oseba s prekomerno telesno težo,an overweight person,en,,,Jelly belly,Jelly belly
"Cockney rima za \piddle\""""",cockney rhyming slang for piddle,en,,,Jimmy Riddle,Jimmy Riddle
Šaliti se / zavajati,tricking me,en,,,Joshing me,Joshing me
Pridružiti se priljubljenemu trendu,join a popular trend,en,,,Jump on the bandwagon,Jump on the bandwagon
Točka ko serija izgubi kakovost zaradi absurdnega zapleta,introduce a ridiculous or unbelievable plot device into a tv series in order to boost flagging ratings,en,,,Jump the shark,Jump the shark
Zaslužena posledica / zaslužena nagrada ali kazen,the result which is deserved - a reward for what has been done - good or bad,en,,,Just deserts,Just deserts
Pozorno spremljati in nadzorovati,observe carefully to make sure something bad isn't done,en,,,Keep an eye on,Keep an eye on
Odganjati / držati na razdalji,keep something away,en,,,Keep at bay,Keep at bay
Zaslužiti dovolj za osnovno preživetje,earn sufficient money in order to keep yourself alive,en,,,Keep body and soul together,Keep body and soul together
Ostati pozitiven v težki situaciji,remain positive in a tough situation,en,,,Keep your chin up,Keep your chin up
Umreti,die,en,,,Kick the bucket,Kick the bucket
Opraviti dve stvari z enim dejanjem,accomplish two things with a single action,en,,,Kill two birds with one stone,Kill two birds with one stone
Samodejna in hitra reakcija,a quick and automatic response,en,,,Knee jerk reaction,Knee jerk reaction
Spolni odnos med osebama stoje,sexual intercourse between two people standing up,en,,,Knee trembler,Knee trembler
Trkanje po lesu za odganjanje nesreče,knuckle tapping on wood in order to avoid bad luck or to continue having good luck,en,,,Knock on wood,Knock on wood
Poznati postopek / vedeti kako nekaj deluje,to understand how to do something,en,,,Know the ropes,Know the ropes
Oseba ali institucija brez prave moči (ob koncu mandata),a person or thing that is no longer properly able to function - also - more specifically - a person in authority - for example a president or prime minister - in their final period of office after a successor has already been elected,en,,,Lame duck,Lame duck
Zadnji a ne najmanj pomemben,an introduction - intended to let the audience know that the last person mentioned is not the least important,en,,,Last but not least,Last but not least
Zadnja kaplja čez rob,the last of a series of problems - which pushes one's endurance beyond its limits,en,,,Last straw,Last straw
Prosim za vašo pozornost,politely ask for someones full attention,en,,,Lend me your ear,Lend me your ear
Naj preteklost ostane v preteklosti / odpustiti in pozabiti,allow a disagreement or argument to be put in the past,en,,,Let bygones be bygones,Let bygones be bygones
Ne odpiraj starih sporov,avoid restarting a conflict,en,,,Let sleeping dogs lie,Let sleeping dogs lie
Razkriti skrivnost,share a secret that wasn't intended to be shared,en,,,Let the cat out of the bag,Let the cat out of the bag
Sprostiti se / obnašati se sproščeno,behave in a free an uninhibited manner - usually applied to women,en,,,Let your hair down,Let your hair down
Ponovno pregledati zadevo od začetka,a suggestion that the thing under consideration has gone along unproductive lines and should be looked at again from the beginning,en,,,Let's rewind,Let's rewind
Poštene in enake možnosti,fair competition where no side has an advantage,en,,,Level playing field,Level playing field
V paniki / brezglavo,in a frenzied manner,en,,,Like a chicken with its head cut off,Like a chicken with its head cut off
Neaktivne ali nedelujoče spletne povezave,the tendency of www addresses to become out of date and point to unavailable pages,en,,,Link rot,Link rot
Spletna stran z množico povezav za manipulacijo iskalnikov,a website that exists primarily to display links to another website - with the intention of improving the search status of the second site,en,,,Link farm,Link farm
Napiti nekoga / piti alkohol,to supply or to drink alcoholic drink,en,,,Liquor someone up,Liquor someone up
Nagajivec / izraz presenečenja ali očitka,an exclamation of surprise and annoyance - directed at someone who has behaved badly or performed some kind of prank - often applied to children,en,,,Little devil,Little devil
Neizstopajoča oseba med bolj vplivnimi,someone considered unimportant compared to their more significant peers,en,,,Little fish in a big pond,Little fish in a big pond
"Cockney rima za \head\""""",cockney rhyming slang for head,en,,,Loaf of bread,Loaf of bread
Star,old,en,,,Long in the tooth,Long in the tooth
Nepredvidljiva oseba,someone who is unpredictable and can cause damage by being reckless,en,,,Loose cannon,Loose cannon
"Cockney rima za \bed\""""",cockney rhyming slang for bed,en,,,Lord Fred,Lord Fred
Izgubiti nadzor nad sabo,overcome by emotion and out of control,en,,,Lose your head,Lose your head
Izgubiti nekdanjo spretnost,lose an ability that you used to possess,en,,,Lose your touch,Lose your touch
Halucinogena goba,a type of mushroom with hallucinogenic properties - sometimes known as 'shrooms',en,,,Magic mushroom,Magic mushroom
Povzročiti razburjenje ali glasen incident,cause a disturbance,en,,,Make a scene,Make a scene
Jasno in brez zadržkov povedati resnico,to state a fact so there are no doubts about it,en,,,Make no bones about,Make no bones about
Moški prostor za sprostitev,a shed or some other retreat that men decorate in the way they choose and use to relax in traditional male pursuits,en,,,Man cave,Man cave
Vse najboljše / zdravico za rojstni dan,a toast given to someone on their birthday,en,,,Many happy returns,Many happy returns
Prijateljski popust,a discount price offered to friends,en,,,Mate's rates,Mate's rates
Jaz sem kriv / moja napaka,i'm to blame,en,,,Mea culpa,Mea culpa
Posušena bananina lupina kot opojna snov,dried banana peel - used as an intoxicant,en,,,Mellow yellow,Mellow yellow
Ljudje na položajih oblasti pogosto birokratsko naravnani,conventionally minded and dressed men who hold positions of authority - also called just 'suits',en,,,Men in suits,Men in suits
Za navidezno nenavadnim ravnanjem je logika,odd actions that appear meaningless but are done for a good reason,en,,,Method to my madness,Method to my madness
"Cockney rima za \eyes\""""",cockney rhyming slang for eyes,en,,,Mince pies,Mince pies
Pazi na jezik,an admonition not to swear,en,,,Mind your language,Mind your language
Zamuditi priložnost,missed the chance to take an opportunity,en,,,Miss the boat,Miss the boat
Tradicionalno ime za čistilko,traditional english name for a cleaning woman,en,,,Mrs. Mop,Mrs. Mop
Nesmiselno govorjenje,nonsense or meaningless speech,en,,,Mumbo jumbo,Mumbo jumbo
O tem ne govorimo / molčati,keep quiet - say nothing,en,,,Mum's the word,Mum's the word
"Cockney rima za \deaf\""""",cockney rhyming slang for deaf,en,,,Mutt and Jeff,Mutt and Jeff
"Cockney rima za \duchess\""""",cockney rhyming slang for duchess,en,,,My old Dutch,My old Dutch
Opraviti nekaj zelo dobro / popolno izvesti,to perform something particularly well,en,,,Nail it,Nail it
Prihranki za prihodnost,savings set aside for future use,en,,,Nest egg,Nest egg
Namišljena idealna dežela,a utopian dreamland,en,,,Never-never land,Never-never land
Novorojenček,colloquial term for a new-born baby,en,,,New arrival,New arrival
Nova oseba v skupini ali okolju,someone new to the group or area,en,,,New kid on the block,New kid on the block
Zelo kratki trenutek,a short space of time,en,,,New York minute,New York minute
Običajen delovni čas / rutinsko delo,a standard office day - between 9am and 5pm - often used to denote the boring nature of the weekly working routine,en,,,Nine to five,Nine to five
Nenamerno razkritje bradavice,the inadvertent exposure of a womans nipple,en,,,Nip slip,Nip slip
Bistvo zadeve,the important aspects of a situation - the heart of the matter,en,,,Nitty-gritty,Nitty-gritty
Odklonitev / zavrnitev,a refusal to accept a proposition,en,,,No dice,No dice
Zelo majhen ali utesnjen prostor,an awkward or confined space,en,,,No room to swing a cat,No room to swing a cat
Ni se treba mudi,said to someone to indicate that you aren't in a hurry for them to complete their task,en,,,No rush,No rush
Oseba ki ni brez napak / ima temno preteklost,someone who might claim to be of good behaviour but has in fact a sordid past,en,,,No saint,No saint
Ni več mlad / že v letih,said of people who are no longer young but may behave as though they were,en,,,No spring chicken,No spring chicken
Radovedno preiskovati / vohljati,investigate in an off-hand manner,en,,,Nose around,Nose around
"Cockney rima za \mouth\""""",cockney rhyming slang for mouth,en,,,North and south,North and south
Ni povsem priseben,not in possession of one's mental faculties,en,,,Not all there,Not all there
Oseba ki ni zelo pametna,someone who lacks intelligence,en,,,Not playing with a full deck,Not playing with a full deck
Nor / duševno nestabilen,crazy - out of one's mind,en,,,Off one's rocker,Off one's rocker
Osvobojen obveznosti / več ni odgovoren,no longer having to deal with something,en,,,Off the hook,Off the hook
Neuradno / zaupno,something said in confidence that the one speaking doesn't want repeated,en,,,Off the record,Off the record
Ponavljajoča se obrabljena zgodba,a story that has been told repeatedly and which has lost any originality,en,,,Old chestnut,Old chestnut
V brezizhodni situaciji,faced with a hopeless situation - even after making one's best efforts,en,,,On a hiding to nothing,On a hiding to nothing
Preživeti z upanjem in srečo,in a difficult situation and reliant on luck to get out of it,en,,,On a wing and a prayer,On a wing and a prayer
Zelo srečen / na vrhu sreče,blissfully happy,en,,,On cloud nine,On cloud nine
Pozoren in pripravljen ukrepati,with a good understanding of a situation and a readiness to act,en,,,On the ball,On the ball
Neodločen,unwilling to give one's view about which side you support,en,,,On the fence,On the fence
Uradno / za javnost,something said in confidence that the one speaking is happy to have repeated,en,,,On the record,On the record
Več ljudi se strinja,several people agreeing,en,,,On the same page,On the same page
"Cockney rima za \alone\""""",cockney rhyming slang for alone,en,,,On your Tod,On your Tod
Zelo redko / izjemno redko,a rare occurrence,en,,,Once in a blue moon,Once in a blue moon
Aktivni oborožen spopad ali odprt spor,engaged in active fighting or dispute,en,,,Open warfare,Open warfare
Izven vidnega polja / odlično (pogovorno),still used with its literal meaning of 'beyond the range of sight' but more commonly used in its hippie-era meaning of 'excellent - extraordinary',en,,,Out of sight,Out of sight
Nenadoma in nepričakovano,suddenly and unexpectedly,en,,,Out of the blue,Out of the blue
Na zabavi / v mestu ob zabavi,out enjoying oneself,en,,,Out on the town,Out on the town
Nikoli / samo čez mene,said when you absolutely refuse to allow something to happen,en,,,Over my dead body,Over my dead body
Pretirano,excessive,en,,,Over the top,Over the top
Zabavati se na glas in brez zadržkov,go on a boisterous or exuberant spree,en,,,Paint the town red,Paint the town red
Združiti se v par / najti partnerja,find a companion,en,,,Partner up,Partner up
Preložiti odgovornost na drugega,avoid responsibility by giving it to someone else,en,,,Pass the buck,Pass the buck
Poln plin / voziti z največjo hitrostjo,to go at full speed - when driving a vehicle,en,,,Pedal to the metal,Pedal to the metal
Odlično / super,excellent - wonderful,en,,,Peachy keen,Peachy keen
Oseba ki skrivaj opazuje druge (voajer),someone who covertly observes sexually active or naked people,en,,,Peeping Tom,Peeping Tom
Umreti / zaključiti krog (igralni izraz),to die - especially to die of old age - to complete a circuit of the board in the card game cribbage,en,,,Peg out,Peg out
"Cockney rima za \stink\""""",cockney rhyming slang for stink,en,,,Pen and ink,Pen and ink
Popolna glasbena percepcija / prepoznavanje tona po sluhu,the ability to determine a musical note by ear,en,,,Perfect pitch,Perfect pitch
Opraviti nekaj brez truda ali zavzetosti,perform an act in an uncommitted disinterested manner,en,,,Phone it in,Phone it in
Nenadno vstopiti v fotografijo in jo pokvariti,spoil a photograph by unexpectedly appearing in the picture and taking the attention away from the intended subject - usually as a prank,en,,,Photo bomb,Photo bomb
Prenajesti se,to overeat in a slovenly manner,en,,,Pig out,Pig out
"Cockney rima za \beer\""""",cockney rhyming slang for beer,en,,,Pig's ear,Pig's ear
Ko se nekaj zelo malo verjetnega zgodi / izraz dvoma,said when referring to something that is highly unlikely,en,,,Pigs might fly,Pigs might fly
